City,AverageTemperature,year,month
Albuquerque,0.243,2004,12
Albuquerque,3.29,2005,1
Albuquerque,3.996,2005,2
Albuquerque,5.846,2005,3
Albuquerque,10.673,2005,4
Albuquerque,16.515,2005,5
Albuquerque,20.801,2005,6
Albuquerque,24.389,2005,7
Albuquerque,21.971,2005,8
Albuquerque,19.241,2005,9
Albuquerque,11.822,2005,10
Albuquerque,5.9590000000000005,2005,11
Albuquerque,1.3079999999999998,2005,12
Albuquerque,1.682,2006,1
Albuquerque,3.68,2006,2
Albuquerque,6.9620000000000015,2006,3
Albuquerque,12.972,2006,4
Albuquerque,18.31,2006,5
Albuquerque,22.683000000000003,2006,6
Albuquerque,23.613000000000003,2006,7
Albuquerque,21.014000000000006,2006,8
Albuquerque,15.642,2006,9
Albuquerque,10.875,2006,10
Albuquerque,6.09,2006,11
Albuquerque,-0.91,2006,12
Albuquerque,-2.0,2007,1
Albuquerque,3.221,2007,2
Albuquerque,8.015,2007,3
Albuquerque,10.743,2007,4
Albuquerque,15.472,2007,5
Albuquerque,21.551,2007,6
Albuquerque,23.697,2007,7
Albuquerque,23.61000000000001,2007,8
Albuquerque,19.175,2007,9
Albuquerque,12.183,2007,10
Albuquerque,6.783,2007,11
Albuquerque,0.24100000000000002,2007,12
Albuquerque,-1.4300000000000002,2008,1
Albuquerque,3.295,2008,2
Albuquerque,6.898,2008,3
Albuquerque,10.459,2008,4
Albuquerque,15.251,2008,5
Albuquerque,21.93,2008,6
Albuquerque,22.465,2008,7
Albuquerque,22.068,2008,8
Albuquerque,17.820999999999994,2008,9
Albuquerque,11.780999999999999,2008,10
Albuquerque,5.7879999999999985,2008,11
Albuquerque,1.6230000000000002,2008,12
Albuquerque,1.824,2009,1
Albuquerque,4.307,2009,2
Albuquerque,7.9689999999999985,2009,3
Albuquerque,10.605,2009,4
Albuquerque,17.819000000000006,2009,5
Albuquerque,19.964,2009,6
Albuquerque,24.138,2009,7
Albuquerque,22.303,2009,8
Albuquerque,17.427,2009,9
Albuquerque,10.648,2009,10
Albuquerque,5.5150000000000015,2009,11
Albuquerque,-1.5259999999999998,2009,12
Albuquerque,-0.581,2010,1
Albuquerque,1.537,2010,2
Albuquerque,5.4979999999999976,2010,3
Albuquerque,11.025,2010,4
Albuquerque,15.283,2010,5
Albuquerque,22.448,2010,6
Albuquerque,23.39,2010,7
Albuquerque,22.216,2010,8
Albuquerque,20.075,2010,9
Albuquerque,12.93,2010,10
Albuquerque,4.1770000000000005,2010,11
Albuquerque,3.202,2010,12
Albuquerque,-0.419,2011,1
Albuquerque,0.5270000000000001,2011,2
Albuquerque,9.241,2011,3
Albuquerque,12.837,2011,4
Albuquerque,14.821,2011,5
Albuquerque,22.587,2011,6
Albuquerque,24.525,2011,7
Albuquerque,24.090000000000003,2011,8
Albuquerque,18.43,2011,9
Albuquerque,11.794,2011,10
Albuquerque,5.105,2011,11
Albuquerque,-2.436,2011,12
Albuquerque,1.84,2012,1
Albuquerque,2.8160000000000003,2012,2
Albuquerque,7.88,2012,3
Albuquerque,13.133,2012,4
Albuquerque,17.307000000000002,2012,5
Albuquerque,23.359,2012,6
Albuquerque,23.555999999999997,2012,7
Albuquerque,23.127,2012,8
Albuquerque,18.577,2012,9
Albuquerque,12.780999999999999,2012,10
Albuquerque,6.2840000000000025,2012,11
Albuquerque,0.503,2012,12
Albuquerque,-1.9809999999999999,2013,1
Albuquerque,1.221,2013,2
Albuquerque,7.975999999999999,2013,3
Albuquerque,11.555,2013,4
Albuquerque,16.29,2013,5
Albuquerque,23.418000000000006,2013,6
Albuquerque,22.951,2013,7
Albuquerque,22.04000000000001,2013,8
Albuquerque,19.207,2013,9
Alexandria,-0.09699999999999998,2000,1
Alexandria,3.38,2000,2
Alexandria,9.113,2000,3
Alexandria,11.591,2000,4
Alexandria,18.559,2000,5
Alexandria,22.689,2000,6
Alexandria,22.477,2000,7
Alexandria,22.808000000000003,2000,8
Alexandria,18.748,2000,9
Alexandria,13.847999999999999,2000,10
Alexandria,6.274,2000,11
Alexandria,-2.057,2000,12
